id,node_id,hub_id,span,span2hub,direction,type
375,ZN0342,ZN1308,30,10260,内圈,主线
376,ZN0343,ZN1308,30,10290,内圈,主线
377,ZN0344,ZN1308,30,10320,内圈,主线
378,ZN0345,ZN1308,30,10350,内圈,主线
379,ZN0346,ZN1308,30,10380,内圈,主线
380,ZN0347,ZN1308,30,10410,内圈,主线
381,ZN0348,ZN1308,30,10440,内圈,主线
382,ZN0349,ZN1308,30,10470,内圈,主线
383,ZN0350,ZN1308,30,10500,内圈,主线
384,ZN0351,ZN1308,30,10530,内圈,主线
385,ZN0352,ZN1308,30,10560,内圈,主线
386,ZN0353,ZN1308,30,10590,内圈,主线
387,ZN0354,ZN1308,30,10620,内圈,主线
388,ZN0355,ZN1308,30,10650,内圈,主线
389,ZN0356,ZN1308,30,10680,内圈,主线
390,ZN0357,ZN1308,30,10710,内圈,主线
391,ZN0358,ZN1308,30,10740,内圈,主线
392,ZN0359,ZN1308,30,10770,内圈,主线
393,ZN0360,ZN1308,30,10800,内圈,主线
394,ZN0361,ZN1308,30,10830,内圈,主线
395,ZN0362,ZN1308,30,10860,内圈,主线
396,ZN0363,ZN1308,30,10890,内圈,主线
397,ZN0364,ZN1308,30,10920,内圈,主线
398,ZN0365,ZN1308,30,10950,内圈,主线
399,ZN0366,ZN1308,30,10980,内圈,主线
400,ZN0367,ZN1308,30,11010,内圈,主线
401,ZN0368,ZN1308,30,11040,内圈,主线
402,ZN0369,ZN1308,30,11070,内圈,主线
403,ZN0370,ZN1308,30,11100,内圈,主线
404,ZN0371,ZN1308,30,11130,内圈,主线
405,ZN0372,ZN1308,30,11160,内圈,主线
406,ZN0373,ZN1308,30,11190,内圈,主线
407,ZN0374,ZN1308,30,11220,内圈,主线
408,ZN0375,ZN1308,30,11250,内圈,主线
409,ZN0376,ZN1308,30,11280,内圈,主线
410,ZN0377,ZN1308,30,11310,内圈,主线
411,ZN0378,ZN1308,30,11340,内圈,主线
412,ZN0379,ZN1308,30,11370,内圈,主线
413,ZN0380,ZN1308,30,11400,内圈,主线
414,ZN0381,ZN1308,30,11430,内圈,主线
415,ZN0382,ZN1308,30,11460,内圈,主线
416,ZN0383,ZN1308,30,11490,内圈,主线
417,ZN0384,ZN1308,30,11520,内圈,主线
418,ZN0385,ZN1308,30,11550,内圈,主线
419,ZN0386,ZN1308,30,11580,内圈,主线
420,ZN0387,ZN1308,30,11610,内圈,主线
421,ZN0388,ZN1308,30,11640,内圈,主线
422,ZN0389,ZN1308,30,11670,内圈,主线
423,ZN0390,ZN1308,30,11700,内圈,主线
424,ZN0391,ZN1308,30,11730,内圈,主线
425,ZN0392,ZN1308,30,11760,内圈,主线
426,ZN0393,ZN1308,30,11790,内圈,主线
427,ZN0394,ZN1308,30,11820,内圈,主线
428,ZN0395,ZN1308,30,11850,内圈,主线
429,ZN0396,ZN1308,30,11880,内圈,主线
430,ZN0397,ZN1308,30,11910,内圈,主线
431,ZN0398,ZN1308,30,11940,内圈,主线
432,ZN0399,ZN1308,30,11970,内圈,主线
433,ZN0400,ZN1308,30,12000,内圈,主线
434,ZN0401,ZN1308,30,12030,内圈,主线
435,ZN0402,ZN1308,30,12060,内圈,主线
436,ZN0403,ZN1308,30,12090,内圈,主线
437,ZN0404,ZN1308,30,12120,内圈,主线
438,ZN0405,ZN1308,30,12150,内圈,主线
439,ZN0406,ZN1308,30,12180,内圈,主线
440,ZN0407,ZN1308,30,12210,内圈,主线
441,ZN0408,ZN1308,30,12240,内圈,主线
442,ZN0409,ZN1308,30,12270,内圈,主线
443,ZN0410,ZN1308,30,12300,内圈,主线
444,ZN0411,ZN1308,30,12330,内圈,主线
445,ZN0412,ZN1308,30,12360,内圈,主线
446,ZN0413,ZN1308,30,12390,内圈,主线
447,ZN0414,ZN1308,30,12420,内圈,主线
448,ZN0415,ZN1308,30,12450,内圈,主线
449,ZN0416,ZN1308,30,12480,内圈,主线
